Date,Open,High,Low,Close,Adj Close,Volume
2017-04-21,58.812901,60.053680,57.572124,58.118065,58.118065,1282042
2017-04-24,57.572124,60.500362,57.572124,59.011429,59.011429,1511154
2017-04-25,59.011429,59.458107,57.770649,57.969173,57.969173,451475
2017-04-26,58.068436,58.415852,55.934296,56.281715,56.281715,555173
2017-04-27,56.380978,57.026180,55.487617,56.033558,56.033558,327768
2017-04-28,57.572124,57.869911,56.281715,56.579502,56.579502,643353
2017-05-02,56.579502,57.075813,55.090565,55.785400,55.785400,431984
2017-05-03,55.835033,56.430607,53.601631,55.239460,55.239460,366757
2017-05-04,55.636509,56.083187,54.643887,55.189831,55.189831,245974
2017-05-05,54.991302,55.437984,53.204582,53.452740,53.452740,290871
2017-05-08,53.899418,54.097942,53.105320,53.303844,53.303844,236513
2017-05-09,53.700893,55.785400,53.452740,55.388351,55.388351,493248
2017-05-10,55.884666,56.033558,54.892040,55.289089,55.289089,229759
2017-05-11,55.835033,55.835033,54.643887,54.792782,54.792782,166039
2017-05-12,54.892040,55.189831,53.998680,54.097942,54.097942,236373
2017-05-15,54.594254,55.040936,53.998680,54.097942,54.097942,154554
2017-05-16,54.445362,54.594254,53.849789,54.097942,54.097942,164534
2017-05-17,54.097942,54.395729,53.254215,53.403107,53.403107,183395
2017-05-18,53.403107,53.998680,52.261593,52.410484,52.410484,242357
2017-05-19,52.708271,53.154953,51.368233,51.616386,51.616386,323757
2017-05-22,51.914173,53.154953,51.219337,51.417862,51.417862,228611
2017-05-23,51.616386,51.864540,48.439995,48.787411,48.787411,419753
2017-05-24,48.837044,50.226715,47.000690,47.298477,47.298477,441814
2017-05-25,47.447372,48.936306,47.348106,48.539257,48.539257,355410
2017-05-26,48.787411,50.375607,48.787411,49.780033,49.780033,342761
2017-05-29,49.730404,49.829666,47.844421,48.191837,48.191837,320434
2017-05-30,48.539257,48.539257,47.050323,47.447372,47.447372,186424
2017-05-31,46.653271,47.298477,46.057697,46.305855,46.305855,277031
2017-06-01,47.000690,47.248844,46.156960,46.702904,46.702904,172552
2017-06-02,47.050323,47.099953,45.908806,46.206593,46.206593,173417
2017-06-05,46.454746,47.546635,46.206593,46.603642,46.603642,261394
2017-06-06,46.653271,48.985935,46.554008,47.943684,47.943684,474663
2017-06-07,48.241470,48.886673,46.405117,46.851795,46.851795,410044
2017-06-08,46.653271,47.149586,46.653271,46.752537,46.752537,200667
2017-06-09,46.653271,47.397739,46.405117,46.702904,46.702904,183346
2017-06-12,46.702904,47.000690,46.107330,46.305855,46.305855,200326
2017-06-13,46.554008,46.603642,45.462124,45.660648,45.660648,227399
2017-06-14,45.710281,45.958435,44.668026,44.916183,44.916183,210080
2017-06-15,45.015446,45.213970,44.370239,44.469501,44.469501,200657
2017-06-16,45.114708,46.702904,44.469501,45.660648,45.660648,370793
2017-06-19,46.057697,46.156960,44.568764,44.767288,44.767288,219162
2017-06-20,44.866550,45.561386,44.568764,44.916183,44.916183,276557
2017-06-21,44.767288,47.546635,43.129459,46.851795,46.851795,939767
2017-06-22,48.340733,48.638519,46.603642,46.851795,46.851795,839073
2017-06-23,47.149586,47.248844,44.717659,44.916183,44.916183,283804
2017-06-27,45.015446,45.213970,43.725037,44.221348,44.221348,199603
2017-06-28,44.221348,44.965813,43.873928,44.767288,44.767288,268224
2017-06-29,44.866550,45.412495,44.519135,44.866550,44.866550,214561
2017-06-30,44.469501,44.618397,43.824299,44.022823,44.022823,144495
2017-07-03,44.370239,45.809544,44.320610,45.263599,45.263599,444066
2017-07-04,45.809544,46.156960,45.114708,45.313232,45.313232,241598
2017-07-05,45.859173,47.794788,45.164337,47.050323,47.050323,447759
